post_time,text,retweet,Photo/Link_Normalized,Photo/Link,Photo,Link,No_Photo/Link_Normalized,hours,Hastag_Count,text1,compound_score,positive_score,neutral_score,negative_score
Tue Oct 01 19:48:30 +0000 2019,"Most people know @AlikoDangote as Africa’s wealthiest man, but I know him as one of our foundation’s most impactful partners in improving health. Melinda and I are lucky to count him as a partner (and friend!) in our work. https://t.co/9Pk8seLGpi",7205,1,1,0,1,0,19,0,people know alikodangote africas wealthiest man know foundations impactful partners improving health melinda lucky count partner friend work,0.9001,0.462,0.538,0.0
Mon Sep 30 16:23:00 +0000 2019,More and more children are living to see their 5th birthdays. That’s because the world has made incredible progress in reducing child mortality. But progress has been uneven. We have more work to do to close the gaps across countries and within them. https://t.co/TaeiqkLD0U,2263,1,1,0,1,0,16,0,children living see 5th birthdays thats world made incredible progress reducing child mortality progress uneven work close gaps across countries within,0.6808,0.228,0.772,0.0
Fri Sep 27 14:20:02 +0000 2019,It's really incredible how much time and effort goes into producing a documentary like the new @netflix series I participated in. I shared more about the experience on my blog: https://t.co/BgTeiguaFf https://t.co/UzqI251nxU,986,1,2,1,1,0,14,0,really incredible much time effort goes producing documentary like new netflix series participated shared experience blog,0.5994,0.259,0.741,0.0
Thu Sep 26 18:36:38 +0000 2019,Ending poverty and achieving the SDGs requires a whole-of-government approach. @ImranKhanPTI and @SaniaNishtar have shown leadership in developing a new anti-poverty strategy. #Ehsaas https://t.co/tbRNz4Gbf6,6253,1,1,0,1,0,18,1,ending poverty achieving sdgs requires wholeofgovernment approach imrankhanpti sanianishtar shown leadership developing new antipoverty strategy ehsaas,-0.5106,0.0,0.82,0.18
Wed Sep 25 19:34:32 +0000 2019,".@sanchezcastejon’s commitment to the @GlobalFund reflects Spain’s leadership. At a time when more countries are turning inward, Spain is showing that we can’t back away from our commitment to fighting poverty and disease. https://t.co/H0ffOpSGr9",1486,1,1,0,1,0,19,0,sanchezcastejons commitment globalfund reflects spains leadership time countries turning inward spain showing cant back away commitment fighting poverty disease,-0.1531,0.2,0.577,0.223
Wed Sep 25 12:37:38 +0000 2019,RT @gatesfoundation: The third annual #Goalkeepers19 event brings together a new generation of changemakers to accelerate progress toward t…,244,1,1,0,1,0,12,1,rt gatesfoundation third annual goalkeepers19 event brings together new generation changemakers accelerate progress toward,0.4215,0.177,0.823,0.0
Wed Sep 25 04:46:29 +0000 2019,"Sanitation is a difficult issue to take on because there are no easy solutions. Tonight we recognized the progress India has made on this issue through its Swachh Bharat program, under the leadership of @narendramodi. https://t.co/liTmmHl7ap",6544,1,1,0,1,0,4,0,sanitation difficult issue take easy solutions tonight recognized progress india made issue swachh bharat program leadership narendramodi,0.5994,0.323,0.568,0.109
Tue Sep 24 18:33:35 +0000 2019,"I had the privilege of meeting @DrElvisEze at last year’s Malaria Summit in London, and I was struck by his optimism about the fight against malaria. I think you’ll be inspired by his story. https://t.co/92006G0AtA",427,1,1,0,1,0,18,0,privilege meeting drelviseze last years malaria summit london struck optimism fight malaria think youll inspired story,0.6808,0.371,0.444,0.185
Mon Sep 23 19:00:00 +0000 2019,I’m excited to see world leaders and climate advocates coming together to make progress at the UNGA #ClimateAction Summit. Working together we can prevent the worst effects of climate change. https://t.co/AHOwRfmk0i,1191,1,1,0,1,0,19,1,excited see world leaders climate advocates coming together make progress unga climateaction summit working together prevent worst effects climate change,0.0516,0.239,0.606,0.155
Sun Sep 22 14:10:11 +0000 2019,I’ve always loved playing tennis. Maybe this is why. See more deleted scenes from the @netflix series about my life and read exclusive stories on my blog: https://t.co/bjWwDvqQkc https://t.co/HquaH9PrBc,830,1,2,1,1,0,14,0,ive always loved playing tennis maybe see deleted scenes netflix series life read exclusive stories blog,0.7351,0.356,0.644,0.0
Sat Sep 21 12:23:00 +0000 2019,"I am hopeful that we can substantially alter the course of Alzheimer’s disease. This World Alzheimer’s Day, join me in supporting Alzheimer’s research by watching and sharing @AlzResearchUK’s #SharetheOrange video with @SamuelLJackson. https://t.co/5Gl8hWHXtA",4858,1,2,1,1,0,12,1,hopeful substantially alter course alzheimers disease world alzheimers day join supporting alzheimers research watching sharing alzresearchuks sharetheorange video samuelljackson,0.8807,0.427,0.573,0.0
Fri Sep 20 19:45:31 +0000 2019,The docuseries about my life and work is out today. I hope you’ll check it out on @netflix — and then read some of the stories that didn’t make the cut on my blog. https://t.co/G6BfXXK93I,1470,1,1,0,1,0,19,0,docuseries life work today hope youll check netflix read stories didnt make cut blog,0.5739,0.282,0.718,0.0
Fri Sep 20 11:53:00 +0000 2019,Adapting to climate change requires support from governments and businesses to ensure those most at risk have the opportunity to thrive. A new report from @GCAdaptation lays out steps we can take to address this urgent issue. https://t.co/QWEGBqY3Vl,815,1,1,0,1,0,11,0,adapting climate change requires support governments businesses ensure risk opportunity thrive new report gcadaptation lays steps take address urgent issue,0.7783,0.367,0.556,0.078
Thu Sep 19 23:38:52 +0000 2019,The new docuseries that looks at my work is out tomorrow. I hope you check it out on @netflix. I can’t wait to hear what you think: https://t.co/1UXX3xEja5. https://t.co/ZortFamUF0,3280,1,2,1,1,0,23,0,new docuseries looks work tomorrow hope check netflix cant wait hear think,0.4404,0.209,0.791,0.0
Thu Sep 19 16:27:01 +0000 2019,"As governments invest more in primary health care systems, overall health outcomes improve. Here’s how: https://t.co/GqQ8EHynUP https://t.co/gBtqPBh8Vw",555,1,2,1,1,0,16,0,governments invest primary health care systems overall health outcomes improve heres,0.7269,0.404,0.596,0.0
Wed Sep 18 18:13:32 +0000 2019,Melinda and I started out ahead. But hundreds of millions of people around the world have to overcome hurdle after hurdle to be successful. Read about how advocates are working to even the odds for everyone: https://t.co/w0DQYCunTK https://t.co/NGmF01h66W,979,1,2,1,1,0,18,0,melinda started ahead hundreds millions people around world overcome hurdle hurdle successful read advocates working even odds everyone,0.5859,0.183,0.817,0.0
Tue Sep 17 21:57:01 +0000 2019,Health and education are improving everywhere in the world. But the gap between countries’ progress can be enormous. Our foundation’s 2019 Goalkeepers report examines two of the biggest factors responsible for this inequality: https://t.co/TQjcnNbu2y https://t.co/FFIkp6Crzf,814,1,2,1,1,0,21,0,health education improving everywhere world gap countries progress enormous foundations 2019 goalkeepers report examines two biggest factors responsible inequality,0.7845,0.331,0.669,0.0
Thu Sep 12 16:07:00 +0000 2019,The Lasker-Bloomberg Public Service Award is a well-deserved recognition of @gavi's life-saving work. Congratulations to all of the winners: https://t.co/Hvpw43o3jb,367,1,1,0,1,0,16,0,laskerbloomberg public service award welldeserved recognition gavis lifesaving work congratulations winners,0.8885,0.568,0.432,0.0
Tue Sep 10 17:51:31 +0000 2019,"Congratulations @BradSmi and @CarolAnnBrowne! Your insights have never been more relevant, and I am glad others will have the chance to benefit from them too. https://t.co/zDBkZk5YnB",263,1,1,0,1,0,17,0,congratulations bradsmi carolannbrowne insights never relevant glad others chance benefit,0.7521,0.512,0.345,0.143
Sat Sep 07 12:00:01 +0000 2019,"Today, it’s difficult for researchers to diagnose #Alzheimers patients early enough to intervene. A reliable, easy and accurate diagnostic would be a game changer, and artificial intelligence could be the answer. https://t.co/M0FxOmUAX2",1192,1,1,0,1,0,12,1,today difficult researchers diagnose alzheimers patients early enough intervene reliable easy accurate diagnostic would game changer artificial intelligence could answer,0.5423,0.235,0.667,0.098
Sat Sep 07 01:29:54 +0000 2019,"Here’s a remarkable statistic: Nearly 1.1 billion fewer people are living in extreme poverty today than in 1990.  But over 700 million still live on less than $2 a day. Six of them share their stories, their challenges, and their dreams for better lives. https://t.co/8zjsa5RiP7",1958,1,1,0,1,0,1,0,heres remarkable statistic nearly 11 billion fewer people living extreme poverty today 1990 700 million still live less 2 day six share stories challenges dreams better lives,0.7984,0.348,0.56,0.092
