post_time,text,retweet,Photo/Link_Normalized,Photo/Link,Photo,Link,No_Photo/Link_Normalized,hours,Hastag_Count,text1,compound_score,positive_score,neutral_score,negative_score
Fri Mar 08 09:06:15 +0000 2019,"In Mumbai today and happy to celebrate #IWD2019 with the India chapter of Women@Google at their “I Am Remarkable” event. Thank you for inspiring me with your stories about the experiences, challenges and triumphs of being women in tech. https://t.co/0W8eXVFk3c",351,1,2,1,1,0,9,1,mumbai today happy celebrate iwd2019 india chapter womengoogle remarkable event thank inspiring stories experiences challenges triumphs women tech,0.9618,0.652,0.348,0.0
Wed Mar 06 20:09:49 +0000 2019,"TensorFlow Privacy, using techniques based on  differential privacy, will make it easier for developers to train ML models with privacy and better protect users' data in their AI development. #GoogleAI https://t.co/niG8Q6nyye",296,1,1,0,1,0,20,1,tensorflow privacy using techniques based differential privacy make easier developers train ml models privacy better protect users data ai development googleai,0.8074,0.316,0.684,0.0
Sat Mar 02 04:44:40 +0000 2019,RT @SusanWojcicki: Great to see so many familiar @YouTube @Google faces today at the #LWTSummit! https://t.co/JUdARgkVsH,67,1,2,1,1,0,4,1,rt susanwojcicki great see many familiar youtube google faces today lwtsummit,0.6249,0.291,0.709,0.0
Tue Feb 26 17:36:06 +0000 2019,"we’ve been applying ML to better predict and optimize the output of energy at some of our wind farms, boosting its value by 20%. Early results suggest that we can use these algorithms to make wind power more predictable and valuable, exciting to see real-world applications of AI https://t.co/WyW43UIdcQ",677,1,1,0,1,0,17,0,weve applying ml better predict optimize output energy wind farms boosting value 20 early results suggest use algorithms make wind power predictable valuable exciting see realworld applications ai,0.9538,0.479,0.521,0.0
Mon Feb 25 06:04:43 +0000 2019,"RT @harrymccracken: Pssst, this @JRRaphael extravaganza just went live and will change how you think about Google Search. https://t.co/MeBy…",79,1,1,0,1,0,6,0,rt harrymccracken pssst jrraphael extravaganza went live change think google search,0.0,0.0,1.0,0.0
Wed Feb 13 18:04:04 +0000 2019,"Today we’re announcing that Google will be investing $13 billion in offices and data centers in the US this year. With this new investment, we’ll now have a home in 24 total states, including data centers in 13 communities. https://t.co/IPZJNPXp5l",954,1,1,0,1,0,18,0,today announcing google investing 13 billion offices data centers us year new investment well home 24 total states including data centers 13 communities,0.2732,0.087,0.913,0.0
Wed Feb 13 08:49:08 +0000 2019,"Philippines is the 6th country where we'll be launching Google Station, bringing free wifi to 50 locations in the country by the end of this month so that more users can have reliable, high quality access to the internet #Google4PH https://t.co/u6aEhDpxmd",388,1,1,0,1,0,8,1,philippines 6th country well launching google station bringing free wifi 50 locations country end month users reliable high quality access internet google4ph,0.6597,0.213,0.787,0.0
Tue Feb 12 17:48:05 +0000 2019,A Cleveland church that once worked with MLK is now working to close the digital divide in black communities. Proud to partner with organizations across the country to help provide digital skills training for everyone. #BlackHistoryMonth #GrowWithGoogle https://t.co/dhwHSdrzsn,121,1,1,0,1,0,17,2,cleveland church worked mlk working close digital divide black communities proud partner organizations across country help provide digital skills training everyone blackhistorymonth growwithgoogle,0.7003,0.216,0.784,0.0
Thu Feb 07 20:10:02 +0000 2019,"Another example of #GoogleAI working at scale to help and protect our users: with our ML models and @TensorFlow, we're now able to detect and block an additional 100M spam messages per day in @gmail https://t.co/MwNqSwJVCz",347,1,1,0,1,0,20,1,another example googleai working scale help protect users ml models tensorflow able detect block additional 100m spam messages per day gmail,-0.0258,0.191,0.614,0.195
Tue Feb 05 21:11:14 +0000 2019,"Today, we’re introducing two new updates that will help keep your data secure: Password Checkup, a Chrome extension that helps protect your accounts from third party data breaches, and a new feature called Cross Account Protection #saferinternetday
https://t.co/L4JSztM69Q https://t.co/CuHKYF1Ghh",971,1,2,1,1,0,21,1,today introducing two new updates help keep data secure password checkup chrome extension helps protect accounts third party data breaches new feature called cross account protection saferinternetday,0.9001,0.371,0.629,0.0
