post_time,text,retweet,Photo/Link_Normalized,Photo/Link,Photo,Link,No_Photo/Link_Normalized,hours,Hastag_Count,text1,compound_score,positive_score,neutral_score,negative_score
Thu Jun 13 16:16:32 +0000 2019,"I was moved by this story: Bob’s daughter has Down syndrome, which puts her at a higher risk for dementia. Motivated by her condition and his love of science, he volunteered for an #Alzheimers clinical trial. https://t.co/tfQScwYo2J",439,1,1,0,1,0,16,1,moved story bobs daughter syndrome puts higher risk dementia motivated condition love science volunteered alzheimers clinical trial,0.7269,0.309,0.601,0.09
Wed Jun 12 16:34:01 +0000 2019,Our foundation’s Day of Caring is one of my dad’s favorite days of the year. I know he can’t wait to hear what our employees learn from our partners this year. https://t.co/D2DNr3xCgE,487,1,2,1,1,0,16,0,foundations day caring dads favorite days year know cant wait hear employees learn partners year,0.7351,0.323,0.677,0.0
Tue Jun 11 18:58:01 +0000 2019,"I’m always amazed by the disconnect between what we see in the news and the reality of the world around us. As my late friend Hans Rosling would say, we must fight the fear instinct that distorts our perspective: https://t.co/uQRofM4q2u https://t.co/SzXDFr4clj",45527,1,2,1,1,0,18,0,always amazed disconnect see news reality world around us late friend hans rosling would say must fight fear instinct distorts perspective,-0.2023,0.209,0.523,0.268
Sat Jun 08 17:49:23 +0000 2019,"Thank you for being a friend, Warren: https://t.co/4hhwUvkGox #BestFriendsDay https://t.co/1hmF1WE5gC",1809,1,2,1,1,0,17,1,thank friend warren bestfriendsday,0.6908,0.74,0.26,0.0
Sat Jun 08 14:56:00 +0000 2019,I’m thrilled about the elimination of malaria from Algeria and Argentina. This news gives me hope that we’ll one day get rid of the disease forever. https://t.co/mizZSMgpUe,2698,1,1,0,1,0,14,0,thrilled elimination malaria algeria argentina news gives hope well day get rid disease forever,0.7845,0.418,0.582,0.0
Fri Jun 07 16:26:30 +0000 2019,"David Letterman’s newest season of #MyNextGuest has a lot of fascinating guests, but there’s one clear standout for me. Check out @melindagates's terrific interview on @netflix: https://t.co/vzS70LBNyj https://t.co/RBtynivvu4",286,1,2,1,1,0,16,1,david lettermans newest season mynextguest lot fascinating guests theres clear standout check melindagatess terrific interview netflix,0.8481,0.414,0.586,0.0
Wed Jun 05 14:06:44 +0000 2019,Patience: it's a valuable skill for investing and for training new employees at Dairy Queen. https://t.co/654kxGktaO,632,1,1,0,1,0,14,0,patience valuable skill investing training new employees dairy queen,0.4767,0.279,0.721,0.0
Tue Jun 04 12:07:00 +0000 2019,"Warren and I recently picked up a @DairyQueen shift. I think I may have been a quicker study in the Blizzard department, but watch the video below and judge for yourself: https://t.co/BJc1nV4kpa https://t.co/J1NgS0EbfE",1986,1,2,1,1,0,12,0,warren recently picked dairyqueen shift think may quicker study blizzard department watch video judge,0.0,0.0,1.0,0.0
Mon Jun 03 04:20:50 +0000 2019,A powerful call to action from @angienguku on the eve of #WD2019. @melindagates and I are impatient for every mother to have access to high-quality maternal care. https://t.co/ZrKzfdupVx,474,1,1,0,1,0,4,1,powerful call action angienguku eve wd2019 melindagates impatient every mother access highquality maternal care,0.5859,0.312,0.573,0.115
Fri May 31 16:52:52 +0000 2019,"If you’re working on digital biomarkers for Alzheimer's disease and related dementias, I encourage you to apply for the next round of funding on the Diagnostics Accelerator website: https://t.co/pQP0E0x8oO https://t.co/3aziBMTR7c",333,1,2,1,1,0,16,0,youre working digital biomarkers alzheimers disease related dementias encourage apply next round funding diagnostics accelerator website,0.5106,0.18,0.82,0.0
Fri May 31 16:49:46 +0000 2019,"Congratulations to the first round of award recipients from @TheADDF’s Diagnostics Accelerator. Your ideas are getting us closer to a reliable, affordable, and easy-to-use diagnostic for Alzheimer’s disease. https://t.co/JENlb92P6h",402,1,1,0,1,0,16,0,congratulations first round award recipients theaddfs diagnostics accelerator ideas getting us closer reliable affordable easytouse diagnostic alzheimers disease,0.8126,0.316,0.684,0.0
Thu May 30 16:22:00 +0000 2019,"Identifying candidates for clinical trials more quickly is essential in the fight against Alzheimer’s. That’s why I’m excited about reliable, affordable, and easy-to-use diagnostic tools like blood tests. https://t.co/pXuIUiIY4I",607,1,1,0,1,0,16,0,identifying candidates clinical trials quickly essential fight alzheimers thats excited reliable affordable easytouse diagnostic tools like blood tests,0.3182,0.218,0.667,0.116
Wed May 29 17:26:37 +0000 2019,"I recently sat down with one of my favorite authors, Jared Diamond. His perspective on political polarization really caught my attention: https://t.co/cfPHMmYgcw https://t.co/F88NEAzZLp",729,1,2,1,1,0,17,0,recently sat favorite authors jared diamond perspective political polarization really caught attention,0.6597,0.351,0.649,0.0
Tue May 28 19:14:00 +0000 2019,Breakthrough Energy Ventures – Europe will be a catalyst for innovative solutions to fight climate change. We have the resources to make a meaningful difference and the flexibility to move quickly. That’s a rare and powerful combination. https://t.co/K4j7ggRzI4,605,1,1,0,1,0,19,0,breakthrough energy ventures europe catalyst innovative solutions fight climate change resources make meaningful difference flexibility move quickly thats rare powerful combination,0.8625,0.461,0.455,0.084
Tue May 28 16:26:32 +0000 2019,"We need the collective effort of governments, individuals, and the private sector to tackle climate change. I’m excited about Canada’s new partnership with @btenergy. #CEMMI2019 https://t.co/adQcnEpvxV",490,1,1,0,1,0,16,1,need collective effort governments individuals private sector tackle climate change excited canadas new partnership btenergy cemmi2019,0.34,0.138,0.862,0.0
Sat May 25 14:07:00 +0000 2019,I can’t recommend these books highly enough: https://t.co/h9J71vWAcz https://t.co/3gOdcA4OaX,1189,1,2,1,1,0,14,0,cant recommend books highly enough,-0.2755,0.0,0.655,0.345
Fri May 24 17:38:00 +0000 2019,"Last year I recommended “Bad Blood,” which is about the rise and fall of Theranos. This year I’m recommending “Nine Pints,” another book about blood that you won’t want to put down. https://t.co/AcnsyCT9TR",509,1,1,0,1,0,17,0,last year recommended bad blood rise fall theranos year recommending nine pints another book blood wont want put,-0.4445,0.084,0.697,0.219
Fri May 24 14:30:27 +0000 2019,"Congratulations @NarendraModi on a remarkable win in #IndianElections2019. Your continued commitment to improve health, nutrition, and development will significantly improve lives of many. @BJP4India",15005,1,1,0,1,0,14,1,congratulations narendramodi remarkable win indianelections2019 continued commitment improve health nutrition development significantly improve lives many bjp4india,0.9623,0.663,0.337,0.0
Thu May 23 12:00:01 +0000 2019,"I’m a big fan of everything Jared Diamond has written, and his latest book, “Upheaval,” is no exception. You can download a free chapter here: https://t.co/aeB13snhM3 https://t.co/FkapORHnpH",357,1,2,1,1,0,12,0,big fan everything jared diamond written latest book upheaval exception download free chapter,0.7906,0.444,0.556,0.0
